video_id,summary,category
7340748820130647326,"The video shows two people sitting at a table in an office setting. The person on the left is wearing a dark blue jacket and is holding a sandwich. The person on the right is wearing a dark jacket and is holding a phone. The background features a large screen displaying the California state seal. The video includes text overlays that provide information about California's new $20 minimum wage for fast food restaurants and a specific exemption for Panera Bread. The video also includes a question about the exemption and a statement from Glenn Flynn, a longtime donor to Gavin Newsom, who owns two dozen Panera Bread locations in California and is a critic of the $20 minimum wage.",Politics
7365322515998068011,"The video starts with a person standing in front of a backdrop of a building with a dome and flags, with the text ""STITCH INCOMING WOKE ENCAMPFENTS EXPOSED!!!"" displayed at the top. The person is wearing a blue dress and a yellow scarf. The scene transitions to a close-up of the same person, with the text ""we're here to discuss the little Gazas that have risen up on campuses across America"" displayed at the bottom. The person is seen standing in front of a tent with a sign that reads ""JEWS AGAINST GENOCIDE"" and another sign that reads ""Shabbat Shalom",Politics
7323689375043243269,"The video features a large, fluffy cat standing on a blue couch in a modern living room. The cat is holding a small object in its paws, possibly a toy or a treat. The background shows a hallway with wooden flooring and a chandelier hanging from the ceiling. The cat appears to be interacting with the camera, looking directly at the viewer with a slightly annoyed expression. The text overlay at the top of the video reads ""Вам покава кабаринский коту"" (You feed your cat), suggesting that the cat is being fed by someone. The cat's body language and the text suggest that it is being fed",Comedy
7341253553245408558,"The video is a series of clips showing a person in a light blue shirt with white trim, wearing a necklace and pearl earrings, applying makeup in a well-lit room with a window in the background. The person is talking about their family and their goal to take care of them. They mention that they have two younger brothers and that they will be the one to take care of them when they have babies. The person also talks about their parents and how they will be the retirement plan for their family. The person is seen applying makeup, including foundation, blush, and lipstick, and they are seen holding a makeup brush and a makeup palette.",Beauty Care
7395058028594122014,"The video features a series of individuals in various settings, each with a caption that references a political figure or event. The captions suggest that the individuals are discussing the importance of the election and the issues at hand. The video also includes a black screen with the text ""I want to thank you for joining us"" and a logo that reads ""Jackie Tid.""",Politics
7407322364309949728,"A group of people are performing on a stage. They are dressed in casual clothing and are dancing energetically. The stage is brightly lit with colorful lights. The performers are moving in sync with each other, and the audience can be seen in the foreground. The video ends with a close-up of one of the performers, who is wearing an orange jacket with the word ""KI"" on it.","Music, Singing, & Dancing"
7354696392129924385,"The video showcases a series of close-up shots of a red sports car at a car show. The car is detailed with a carbon fiber body and black wheels. The video captures the car from different angles, highlighting its sleek design and luxurious features. The car is surrounded by other cars and people, indicating a busy and vibrant car show environment. The video also includes text overlays with emojis, adding a playful touch to the presentation. The overall atmosphere is one of excitement and admiration for the car's design and craftsmanship.",1. News
7223384947938053418,"The video shows a person wearing a dark blue shirt with green text on it. The person is standing in a room with a tiled floor. In the background, there is a black object, possibly a trash can. The person is interacting with a group of armadillos, which are small, armored animals. The armadillos are playing and rolling around on the floor. The text on the screen provides information about the armadillos, mentioning their reputation and the fact that they are known for carrying leprosy. The video also includes a comparison of the armadillos' body temperature to the perfect temperature for leprosy.",Science & Technology
7366736772253977889,"The video starts with an aerial view of a coastal area, showing a mix of land and water. The text ""Is a country still a country if it sinks?"" appears, followed by ""That's what might be happening to Tuvalu, a small country in the Pacific made up of nine coral islands."" The scene then shifts to a map of the Pacific, with the text ""Tuvalu"" highlighted in red. The video then shows a map of the Pacific, with the text ""Tuvalu"" highlighted in red. The scene transitions to a view of the ocean, with the text ""The sea level in Tuvalu is now 15 cm higher than it was",Politics
7395616033127648554,The video shows a woman in a black outfit standing in a room. She is holding a black bag and talking to the camera. The room has a bed and a mirror. The woman is wearing a black shirt and black pants. She is talking about her belly fat and how it was stubborn. She is also talking about her belly fat being high.,Entertainment & Shows
7302484543691328810,"The video is a series of black screens with white text. The text is in English and appears to be a message or announcement. The text reads: ""EMERGENCY RELIEF DISTRIBUTION OCTOBER 1TH, 2023 2:32 PM Stop the killing stop hate. Time to donate."" The text is repeated multiple times across the frames, with no other visual elements or actions taking place. The video does not contain any additional information or context beyond the text.",1. News
7383627859803393313,"The video shows a man sitting at a desk in an office setting, wearing a white polo shirt with black trim. He is speaking and gesturing with his hands. The background is a typical office environment with a computer monitor and other office supplies visible. The man is seen talking about various topics, including the importance of content, the need for a match, and the importance of being in the news. The text on the screen changes to indicate different points he is making.",Sports
7366011789085035809,"Two men are standing on a stage at a conference. One man is wearing a suit and tie, while the other is wearing a suit and a purple tie. They are standing in front of a podium with the letters ""CDU"" on it. The man in the suit and tie is holding a cane. The man in the suit and tie is talking to the man in the suit and tie.",Politics
7320342127790148907,"The video depicts a police officer in a blue uniform standing in front of a row of blue lockers. The officer is wearing a black vest with a badge and a name tag that reads ""POLICE."" The officer is holding a gun and appears to be speaking to the camera. The background is a plain wall with a window. The text ""TYRANT COPS MAKE BIG MISTAKE SILVERTHORNE COLORADO - FINAL AMENDMENT AUTO AUDIT PRESS"" is displayed at the bottom of the screen. The officer is gesturing with their hands as they speak, and the video appears to be a commentary or explanation of a situation",News
7394913119375527210,"A person wearing a camouflage cap and a gray shirt is standing in front of a plain wall. They are holding a small object in their hand and gesturing with their other hand. The person appears to be speaking or explaining something, as indicated by their hand movements and facial expressions. The video includes text overlays that provide context and commentary on the person's statements.",Politics
